canonical_id	aliases	origin_lanes	entry_class	count_current_breadth	disposition	literal_definition	definition_sources	disposition_sources	audit_notes
ZQD	ZQD	replacement_algebra	CODE_ONLY_WIP	0	PENDING_UNCONSOLIDATED	Cyclic alphabet0..m; output0 if either adjacent entry0, otherwise ((right-left) mod m)+1	scouting/replacement_algebra_lane/verify_replacement_algebra_lane.py	scouting/replacement_algebra_lane/verify_replacement_algebra_lane.py	Registered coprime boxes; whole script fails in one_runs negative shift before final output.
FRP	FRP	replacement_algebra	CODE_ONLY_WIP	0	PENDING_UNCONSOLIDATED	[1,N]; x -> floor(N/x)	scouting/replacement_algebra_lane/verify_replacement_algebra_lane.py	scouting/replacement_algebra_lane/verify_replacement_algebra_lane.py	Defined standard reciprocal/polarity control; no completed lane record.
EOI	EOI	replacement_algebra	CODE_ONLY_WIP	0	PENDING_UNCONSOLIDATED	Subsets of nonzero binary vectors; select each dual point whose orthogonal hyperplane meets old set in exactly one point	scouting/replacement_algebra_lane/verify_replacement_algebra_lane.py	scouting/replacement_algebra_lane/verify_replacement_algebra_lane.py	Code-only definition; no durable full-run evidence.
EPP	EPP	replacement_algebra	CODE_ONLY_WIP	0	PENDING_UNCONSOLIDATED	Subsets of F_2^d; output XOR-sums occurring an odd number of times among unordered distinct pairs	scouting/replacement_algebra_lane/verify_replacement_algebra_lane.py	scouting/replacement_algebra_lane/verify_replacement_algebra_lane.py	Parity differs from UPR exactly-one predicate.
UTE	UTE	replacement_algebra	CODE_ONLY_WIP	0	PENDING_UNCONSOLIDATED	Simple graphs; put edge uv in output iff old u,v have exactly one common neighbor, regardless of old edge status	scouting/replacement_algebra_lane/verify_replacement_algebra_lane.py	scouting/replacement_algebra_lane/verify_replacement_algebra_lane.py	Different from OTP old-edge retention with odd predicate.
DEC	DEC	replacement_algebra	CODE_ONLY_WIP	0	PENDING_UNCONSOLIDATED	Binary subspaces V; output V-perp + span(all-one vector)	scouting/replacement_algebra_lane/verify_replacement_algebra_lane.py	scouting/replacement_algebra_lane/verify_replacement_algebra_lane.py	Code-only standard dual/extension control.
IPF	IPF	replacement_algebra	CODE_ONLY_WIP	0	PENDING_UNCONSOLIDATED	Path matchings; toggle all edges flippable in old matching whose adjacent edges are both nonflippable	scouting/replacement_algebra_lane/verify_replacement_algebra_lane.py	scouting/replacement_algebra_lane/verify_replacement_algebra_lane.py	Code-only isolated simultaneous plaquette update.
UPR	UPR;UPR_stress	nonlinear_fifth	DOCUMENTED_PROPOSAL	1	KILL_NO_PARAMETER_SPINE	Subsets of F_2^d; output nonzero sums with exactly one unordered distinct-pair representation	scouting/nonlinear_fifth_20260905/probe_fifth.py|scouting/nonlinear_fifth_20260905/SCOUT_AND_DISPOSITION.md	scouting/nonlinear_fifth_20260905/SCOUT_AND_DISPOSITION.md	Complete lane now archived; d=6 fixed-only conjecture refuted; exact and stress functions remain one map.
MCR	MCR	nonlinear_fifth	DOCUMENTED_PROPOSAL	1	KILL_QUADRATIC_FAMILY_BUNDLE	F_p^2; (x,y)->(x(1-y),y(1-x))	scouting/nonlinear_fifth_20260905/probe_fifth.py|scouting/nonlinear_fifth_20260905/SCOUT_AND_DISPOSITION.md	scouting/nonlinear_fifth_20260905/SCOUT_AND_DISPOSITION.md	Complete lane now archived; exact invariant-fibre quadratic conjugacy; not historical NL14/BSP literal.
CPA	CPA;CAD;polynomial_advection	nonlinear_fifth	DOCUMENTED_PROPOSAL	1	KILL_NO_ALL_PRIME_CONTRACT	Canonical degree<p polynomials over F_p; multiply f by formal f-prime then reduce modulo X^p-X	scouting/nonlinear_fifth_20260905/probe_fifth.py|scouting/nonlinear_fifth_20260905/SCOUT_AND_DISPOSITION.md	scouting/nonlinear_fifth_20260905/SCOUT_AND_DISPOSITION.md	Complete lane now archived; CPA/CAD are one canonical-representative derivative map, not historical D05_CPA parking.
